threshold,accuracy,balanced_accuracy,f1,auc,tp,tn,fp,fn,model,threshold_strategy,holdout_gen
0.5,0.9265255292652553,0.9112605563309789,0.9013377926421404,0.9849233539374385,1078,1898,19,217,Stacking(GB+LR+RF),default,DC
0.14322919669010536,0.9483188044831881,0.9470569160710006,0.9362029208301307,0.9849233539374385,1218,1828,89,77,Stacking(GB+LR+RF),youden,DC
0.5,0.9290161892901619,0.9140988070565536,0.9048414023372288,0.9845422887676409,1084,1900,17,211,Stacking(GB+LR+RF+SVM),default,DC
0.1392415111509289,0.9486301369863014,0.9478188450019436,0.9367573783058644,0.9845422887676409,1222,1825,92,73,Stacking(GB+LR+RF+SVM),youden,DC
0.5,0.9283935242839353,0.9130760539211243,0.9037656903765691,0.9858268731508169,1080,1902,15,215,bn-GB+Platt,default,DC
0.23564730247216903,0.9486301369863014,0.9471924640938725,0.9365140438630243,0.9858268731508169,1217,1830,87,78,bn-GB+Platt,youden,DC
0.5,0.936799501867995,0.9262568403413474,0.9175132060138155,0.9845314127004268,1129,1880,37,166,TwoStage(m=0.15),default,DC
0.31289519964148566,0.951120797011208,0.9477757435503915,0.9388391118036619,0.9845314127004268,1205,1850,67,90,TwoStage(m=0.15),youden,DC
0.5,0.9361768368617683,0.925108811024304,0.9164288626172035,0.9844629337587083,1124,1883,34,171,TwoStage(m=0.2),default,DC
0.2469604258073876,0.9467621419676214,0.9473813854095544,0.9350550702620585,0.9844629337587083,1231,1810,107,64,TwoStage(m=0.2),youden,DC
0.5,0.9336861768368617,0.9221452841171152,0.9129546383326522,0.9840544770122236,1117,1882,35,178,TwoStage(m=0.25),default,DC
0.24696042580738767,0.9476961394769614,0.9477880294781704,0.9359756097560976,0.9840544770122236,1228,1816,101,67,TwoStage(m=0.25),youden,DC
0.5,0.9496835443037974,0.9407441591503825,0.9342159702110053,0.9855633860193979,1129,1872,29,130,Reject(m=0.05),coverage=0.98,DC
0.5,0.9554982263785875,0.946933974593549,0.9413265306122449,0.9864812588216844,1107,1856,24,114,Reject(m=0.1),coverage=0.97,DC
0.5,0.9627185747278126,0.9545974183639214,0.9499335400974745,0.9869911109680447,1072,1846,19,94,Reject(m=0.15),coverage=0.94,DC
0.5,0.9699019276293541,0.9621842947890558,0.9588534442903375,0.9875032998847597,1037,1831,12,77,Reject(m=0.2),coverage=0.92,DC
0.5,0.8699701937406855,0.870738093848245,0.8688462983840661,0.9500893673679851,1156,1179,210,139,bn-GB,default,Pika
0.6168904863681967,0.8845007451564829,0.883548899099655,0.877373417721519,0.9500893673679851,1109,1265,124,186,bn-GB,youden,Pika
0.5,0.8703427719821163,0.8721432324024117,0.872992700729927,0.9573366022610084,1196,1140,249,99,bn-GB+SMOTE,default,Pika
0.7518623413943581,0.8997764530551415,0.8979157806371629,0.8905168905168905,0.9573366022610084,1094,1321,68,201,bn-GB+SMOTE,youden,Pika
0.5,0.8546944858420268,0.8575470255815828,0.8618001417434443,0.9546958868773122,1216,1078,311,79,bn-GB-balanced,default,Pika
0.7620400803249637,0.8934426229508197,0.8919007869331843,0.8847703464947623,0.9546958868773122,1098,1300,89,197,bn-GB-balanced,youden,Pika
0.5,0.7783159463487332,0.7825248574708619,0.7971360381861575,0.896701885470784,1169,920,469,126,bn-LR-balanced,default,Pika
0.720625628150418,0.8192995529061102,0.8187510250145239,0.8109161793372319,0.896701885470784,1040,1159,230,255,bn-LR-balanced,youden,Pika
0.5,0.8919523099850969,0.8909050982485107,0.8849206349206349,0.9534305672534614,1115,1279,110,180,RF-balanced,default,Pika
0.5362136755783037,0.8975409836065574,0.895573049136764,0.8877092690894243,0.9534305672534614,1087,1322,67,208,RF-balanced,youden,Pika
0.5,0.8703427719821163,0.8727964619973259,0.875268817204301,0.963580921248308,1221,1115,274,74,XGBoost,default,Pika
0.7370724678039551,0.9046199701937406,0.904450578316669,0.9010054137664346,0.963580921248308,1165,1263,126,130,XGBoost,youden,Pika
0.5,0.8673621460506706,0.8699689507464885,0.8729478943611706,0.9618024689298987,1223,1105,284,72,XGBoost-tuned,default,Pika
0.7395005822181702,0.9020119225037257,0.9017217464301697,0.8979433449747769,0.9618024689298987,1157,1264,125,138,XGBoost-tuned,youden,Pika
0.5,0.8766766020864382,0.8764598291596132,0.8719535783365571,0.9508165369936428,1127,1226,163,168,Stacking(GB+LR+RF),default,Pika
0.5833760349722892,0.8833830104321908,0.8824689854927437,0.8763334650335836,0.9508165369936428,1109,1262,127,186,Stacking(GB+LR+RF),youden,Pika
0.5,0.8759314456035767,0.876079566144361,0.8725602755453502,0.9507915196900079,1140,1211,178,155,Stacking(GB+LR+RF+SVM),default,Pika
0.6233897012786318,0.8863636363636364,0.8853748842949707,0.8792079207920792,0.9507915196900079,1110,1269,120,185,Stacking(GB+LR+RF+SVM),youden,Pika
0.5,0.8714605067064084,0.8716815241653255,0.868270332187858,0.949560668351165,1137,1202,187,158,bn-GB+Platt,default,Pika
