part,strategy,n_latent_feats,holdout_gen,auc,acc
feature_selection,safe_max(g<=0.75),20,Latte,0.8976180331150447,0.8245989304812834
feature_selection,safe_max(g<=0.75),20,OSora,0.9821883537549226,0.9324607329842932
feature_selection,safe_max(g<=0.75),20,Pika,0.9446820928191835,0.8768898488120951
feature_selection,safe_max(g<=0.75),20,SEINE,0.948762377874689,0.8848074179743224
feature_selection,safe_max(g<=0.75),20,SVD,0.9681284598711238,0.9014410705095214
feature_selection,safe_max(g<=0.75),20,VCraft,0.9889111783376314,0.9473591549295775
feature_selection,safe_max(g<=0.75),20,ZS,0.9616191198367731,0.8948043617703656
feature_selection,safe_max(g<=0.80),20,DC,0.9940177784961669,0.9653103808033385
feature_selection,safe_max(g<=0.80),20,Latte,0.9062242271726386,0.8323529411764706
feature_selection,safe_max(g<=0.80),20,OSora,0.9811491522223135,0.9303664921465968
feature_selection,safe_max(g<=0.80),20,Pika,0.9503644028132178,0.8837293016558675
feature_selection,safe_max(g<=0.80),20,SEINE,0.9477604593804245,0.8865905848787446
feature_selection,safe_max(g<=0.80),20,SVD,0.9701119052014847,0.9081317550180134
feature_selection,safe_max(g<=0.80),20,VCraft,0.9870736213052965,0.9411971830985916
feature_selection,safe_max(g<=0.80),20,ZS,0.9637001893863807,0.8983322642719692
feature_selection,safe_max(g<=0.85),20,DC,0.9960616497532306,0.9744392279603548
feature_selection,safe_max(g<=0.85),20,Latte,0.9523675255226057,0.8844919786096257
feature_selection,safe_max(g<=0.85),20,OSora,0.984887597501287,0.9401396160558464
feature_selection,safe_max(g<=0.85),20,Pika,0.9411761961850829,0.8797696184305256
feature_selection,safe_max(g<=0.85),20,SEINE,0.9652550818984902,0.8983594864479315
feature_selection,safe_max(g<=0.85),20,SVD,0.9727657698869664,0.9143077714873906
feature_selection,safe_max(g<=0.85),20,VCraft,0.9960730757786153,0.9690140845070423
feature_selection,safe_max(g<=0.85),20,ZS,0.9802105015426986,0.9310455420141116
standalone,latent_only,59,DC,0.9781179785294195,0.9256651017214398
standalone,latent_only,59,Latte,0.6423510823872574,0.6013368983957219
standalone,latent_only,59,OSora,0.8293172397199151,0.7586387434554974
standalone,latent_only,59,Pika,0.7241257416469317,0.6727861771058316
standalone,latent_only,59,SEINE,0.9744448780120513,0.9210057061340942
standalone,latent_only,59,SVD,0.9195578887644231,0.8445702521873392
standalone,latent_only,59,VCraft,0.9358645358063876,0.8559859154929578
standalone,latent_only,59,ZS,0.8317115007276339,0.7623476587556126
standalone,physics_only,25,DC,0.8727636399357912,0.7916014606155451
standalone,physics_only,25,Latte,0.6461548800366038,0.627807486631016
standalone,physics_only,25,OSora,0.7335393462045693,0.6736474694589878
