round,train_auc,test_auc,train_logloss,test_logloss
219,0.9999943308931559,0.9790951928160279,0.02323922493570218,0.21556211412625517
220,0.999994640572842,0.9790702176795253,0.023061127443453185,0.21580609337775675
221,0.999994925409093,0.9790921509960234,0.022902593946328133,0.21583760517303113
222,0.9999951800362574,0.9791384320083746,0.022748058959213568,0.21568096309504117
223,0.9999954972029126,0.9791402346263324,0.022576667495571613,0.21585475272261218
224,0.9999957319468239,0.9791499188996667,0.02240867864666661,0.21583149932333773
225,0.9999960259838667,0.9791783936796312,0.0222200346930258,0.21581087226359638
226,0.9999962727291685,0.9791902207427623,0.022049145641319656,0.21582900105596858
227,0.99999652428,0.9792360248367808,0.021862500620811274,0.21578812763722507
228,0.9999967793394979,0.9792652907682383,0.021678324835969622,0.2157890901908792
229,0.9999969009066623,0.9792927404165872,0.02152080992094493,0.215799280618333
230,0.9999971394170184,0.9792450950625662,0.021351795228938576,0.21620449985009
231,0.9999973708860992,0.9792941939518897,0.02118053385770612,0.21602023328685732
232,0.9999975170947885,0.9793267618705394,0.020993746139470294,0.21603077430728634
233,0.9999976630019062,0.9793778919946307,0.020843558820354928,0.2158880930375371
234,0.9999978156438191,0.9794239491116797,0.02067933071118995,0.21578606503239184
235,0.9999980257614272,0.9793711626742475,0.02052756703735138,0.21634850404131822
236,0.9999981424064108,0.9794002589374643,0.020366951757157005,0.21619363193001098
237,0.9999982038280164,0.9794452046647607,0.02021056948964826,0.21603888824883263
238,0.9999983215826935,0.9794469882510475,0.02006341046278165,0.21623189240018945
239,0.9999983977714251,0.9794518019139139,0.019932788959394942,0.21635137768167417
240,0.9999984258070718,0.9794920369985234,0.01978885418225705,0.21614642960041497
241,0.9999985006002092,0.9795779746754193,0.019642002451970234,0.21586400330183636
242,0.9999985864224179,0.9796370704372658,0.019511360511077783,0.21578403193731308
243,0.9999986686733606,0.9796584965941632,0.019356960054071157,0.2157296498950477
244,0.9999987333076396,0.979676690338627,0.01921986986028877,0.2156900867963716
245,0.9999988109886657,0.9796750758126461,0.01904461346318935,0.2160133258444782
246,0.9999989214576066,0.9796993471915008,0.018885547464262718,0.21609649368164172
247,0.9999990175131813,0.9796944145018054,0.0187293485527891,0.21630995084156657
248,0.9999990834198729,0.9796896561146489,0.01859644900260412,0.2164561411539996
249,0.9999991224744663,0.9797212158512629,0.01847586934058004,0.21635124775302855
