threshold,accuracy,balanced_accuracy,f1,precision,recall,auc,tp,tn,fp,fn,fpr,fnr,config,feature_set,model,threshold_strategy,holdout_gen
0.5,0.6892901618929016,0.6164256812144137,0.38395061728395063,0.9569230769230769,0.24015444015444015,0.868699685601094,311,1903,14,984,0.007303077725612933,0.7598455598455593,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,default(0.5),DC
0.32295671570571965,0.7886052303860523,0.7910802150238769,0.7540746106483158,0.7100954979536153,0.8038610038610039,0.868699685601094,1041,1492,425,254,0.22170057381324976,0.196138996138996,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,youden,DC
0.30999999999999994,0.7711706102117061,0.7867467064650163,0.7534384434753438,0.666073546856465,0.8671814671814672,0.868699685601094,1123,1354,563,172,0.2936880542514344,0.13281853281853273,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,max-f1,DC
0.3199999999999999,0.7851805728518058,0.7897144629538996,0.7532188841201717,0.7015323117921386,0.8131274131274131,0.868699685601094,1053,1469,448,242,0.23369848721961387,0.18687258687258673,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,max-balacc,DC
0.3199999999999999,0.7851805728518058,0.7897144629538996,0.7532188841201717,0.7015323117921386,0.8131274131274131,0.868699685601094,1053,1469,448,242,0.23369848721961387,0.18687258687258673,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,max-acc,DC
0.5,0.7929638854296388,0.7561466899495068,0.687939934303144,0.8767942583732058,0.566023166023166,0.8890544468009258,733,1814,103,562,0.053729786124152294,0.4339768339768337,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),default(0.5),DC
0.32996089047213506,0.8097758405977584,0.8075634991127949,0.7714178825289937,0.7481857764876633,0.7961389961389962,0.8890544468009258,1031,1570,347,264,0.18101199791340628,0.20386100386100373,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),youden,DC
0.32999999999999985,0.8094645080946451,0.8071773987266945,0.7709580838323353,0.7480029048656499,0.7953667953667953,0.8890544468009258,1030,1570,347,265,0.18101199791340628,0.2046332046332045,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),max-f1,DC
0.32999999999999985,0.8094645080946451,0.8071773987266945,0.7709580838323353,0.7480029048656499,0.7953667953667953,0.8890544468009258,1030,1570,347,265,0.18101199791340628,0.2046332046332045,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),max-balacc,DC
0.3699999999999999,0.8138231631382317,0.8040640237823337,0.7654901960784314,0.7776892430278884,0.7536679536679537,0.8890544468009258,976,1638,279,319,0.14553990610328632,0.24633204633204617,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),max-acc,DC
0.5,0.8368617683686177,0.8129670918403313,0.7731601731601732,0.8798029556650246,0.6895752895752896,0.9108243051905023,893,1795,122,402,0.06364110589462699,0.3104247104247102,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,default(0.5),DC
0.3922596764601444,0.8433997509339975,0.8344797513811598,0.8023575638506876,0.8168,0.7884169884169884,0.9108243051905023,1021,1688,229,274,0.1194574856546687,0.21158301158301143,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,youden,DC
0.3899999999999999,0.8427770859277709,0.8339581029721874,0.8017275225755791,0.8154952076677316,0.7884169884169884,0.9108243051905023,1021,1686,231,274,0.12050078247261341,0.21158301158301143,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,max-f1,DC
0.3899999999999999,0.8427770859277709,0.8339581029721874,0.8017275225755791,0.8154952076677316,0.7884169884169884,0.9108243051905023,1021,1686,231,274,0.12050078247261341,0.21158301158301143,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,max-balacc,DC
0.4199999999999998,0.8430884184308842,0.8297089846385621,0.7962813257881972,0.8354537743850721,0.7606177606177607,0.9108243051905023,985,1723,194,310,0.10119979134063636,0.2393822393822392,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,max-acc,DC
0.5,0.8250311332503113,0.7990469342582018,0.7539404553415061,0.8705763397371082,0.6648648648648648,0.8898334954672984,861,1789,128,434,0.0667709963484611,0.3351351351351349,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,default(0.5),DC
0.42854346963752316,0.8300124533001245,0.8114883495165185,0.7725,0.8389140271493213,0.7158301158301158,0.8898334954672984,927,1739,178,368,0.09285341679707873,0.284169884169884,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,youden,DC
0.4299999999999998,0.8290784557907845,0.8103300483582174,0.7709637046307884,0.838475499092559,0.7135135135135136,0.8898334954672984,924,1739,178,371,0.09285341679707873,0.2864864864864863,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,max-f1,DC
0.4299999999999998,0.8290784557907845,0.8103300483582174,0.7709637046307884,0.838475499092559,0.7135135135135136,0.8898334954672984,924,1739,178,371,0.09285341679707873,0.2864864864864863,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,max-balacc,DC
0.4299999999999998,0.8290784557907845,0.8103300483582174,0.7709637046307884,0.838475499092559,0.7135135135135136,0.8898334954672984,924,1739,178,371,0.09285341679707873,0.2864864864864863,B: z0+eps+physics,safe_max(g<=0.80),bn-LR,max-acc,DC
0.5,0.7742839352428393,0.7239607817072605,0.6237675142708874,0.9509493670886076,0.4640926640926641,0.9095610701244503,601,1886,31,694,0.016171100678142925,0.5359073359073355,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,default(0.5),DC
0.29822197985845544,0.8278331257783312,0.8277023502375616,0.7948051948051948,0.765,0.827027027027027,0.9095610701244503,1071,1588,329,224,0.17162232655190393,0.17297297297297284,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,youden,DC
0.2799999999999999,0.8212951432129514,0.8267349844814633,0.7941176470588235,0.7414601473543202,0.8548262548262548,0.9095610701244503,1107,1531,386,188,0.20135628586332802,0.14517374517374507,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,max-f1,DC
